task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Medical camp volunteers needed this week,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Andhra Pradesh,Flood,2,12,8,high,High
Donation collection drive volunteers this weekend,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Skill Training,Odisha,None,9,120,17,medium,Medium
Fundraising preparation volunteers next week,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Education,Kerala,None,3,336,15,low,Medium
Medical camp volunteers needed this week,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Rajasthan,Cyclone,5,36,17,high,High
Volunteer drivers needed for medicine transport tomorrow,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Shelter,Himachal Pradesh,None,6,48,13,high,High
Volunteers needed this weekend for donation packaging,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Madhya Pradesh,None,2,72,18,high,Medium
Skill training session support volunteers,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Kerala,Flood,8,48,10,medium,Medium
Emergency relief – medical camp setup tonight,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Chennai,Landslide,3,3,21,critical,Critical
Medical camp volunteers needed this week,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Assam,Flood,3,18,9,high,Medium
Video editing volunteer for awareness campaign,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,Kerala,None,2,168,16,low,Low
Sanitation volunteers needed at relief camp,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,Madhya Pradesh,None,5,36,16,high,High
Research assistant volunteer for grant writing,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Gujarat,None,1,168,16,low,Low
Emergency relief – medical camp setup tonight,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Food & Nutrition,Uttarakhand,Landslide,4,4,20,critical,Critical
Life-threatening situation – rescue volunteers needed NOW,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Uttarakhand,Cyclone,4,8,14,critical,Critical
Data entry volunteers needed next month,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Education,Uttarakhand,None,2,120,13,low,Low
Social media content creation volunteer needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,Karnataka,None,1,336,13,low,Low
Awareness campaign volunteers needed this Saturday,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Bihar,None,8,72,12,medium,Medium
Video editing volunteer for awareness campaign,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Fundraising,Kerala,None,4,120,15,low,Low
Skill training session support volunteers,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Andhra Pradesh,None,8,72,16,medium,Medium
Fundraising preparation volunteers next week,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Awareness,Andhra Pradesh,None,3,336,14,low,Low
Rescue team needed near landslide zone tonight,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Food & Nutrition,Chennai,Flood,6,2,20,critical,Critical
Library books sorting volunteers this weekend,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Skill Training,Madhya Pradesh,None,8,96,14,high,Medium
Video editing volunteer for awareness campaign,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Education,Odisha,None,4,168,9,low,Low
Urgent: stranded flood victims need immediate help,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Mumbai,None,4,12,3,critical,Critical
Educational material sorting volunteers needed next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Mumbai,None,1,168,15,low,Medium
Fundraising preparation volunteers next week,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Awareness,Guwahati,None,3,504,15,low,Low
Health camp registration volunteers needed Sunday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Kerala,Flood,3,120,19,medium,Medium
Psychosocial support volunteers needed this week,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Odisha,Flood,7,18,14,high,High
Emergency relief – medical camp setup tonight,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,West Bengal,Cyclone,5,8,11,critical,Critical
Rescue team needed near landslide zone tonight,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Bihar,Cyclone,1,6,12,high,Critical
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Uttarakhand,Flood,6,18,6,high,High
Library books sorting volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Skill Training,Guwahati,None,10,96,14,medium,Medium
Community kitchen volunteers needed this week,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Logistics & Transport,Odisha,None,4,48,14,low,Medium
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Pune,None,6,24,12,critical,Critical
Health camp registration volunteers needed Sunday,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Skill Training,Odisha,None,9,48,14,high,Medium
Immediate evacuation support needed in cyclone area,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Rajasthan,Landslide,3,12,17,critical,Critical
Awareness campaign volunteers needed this Saturday,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Psychosocial Support,Karnataka,None,7,48,17,medium,Medium
Sanitation volunteers needed at relief camp,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,Odisha,Flood,8,36,17,high,High
Transport volunteers for weekly supply delivery,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Assam,Flood,2,72,8,medium,Medium
Food distribution volunteers needed this evening,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Uttarakhand,None,5,48,19,high,High
